node	type	sequence	time_red	time_yellow	time_green	num_moves	link_from	link_to
5762	1	1		0	2	65	0	{5247,5247,5247,5247}	{14492,12086,114493,7424}
5762	1	2		0	2	45	0	{14493,14493,14493}	{14492,12086,7424}
5718	1	1		2	4	36	0	{105220,105220,105220}	{5140,105235,118458}
5718	1	2		2	4	42	0	{105140,105140,18458,18458}	{105235,118458,5140,105235}
5719	1	1		2	4	29	0	{105162,105162,105162}	{105209,5210,115885}
5719	1	2		2	4	39	0	{15885,15885,105210,105210}	{105209,5210,105209,115885}
5719	1	3		1	4	5	0	{15885,15885}	{105209,5210}
5742	1	1		2	4	30	0	{105181,105181,105181}	{105166,5190,105171}
5742	1	2		2	4	4	0	{5166,5166}	{5190,105171}
5742	1	3		2	4	38	0	{5166,5166,105190,105190}	{5190,105171,105166,105171}
5758	1	1		2	4	5	0	{105239,5233,5233}	{105233,5239,5240}
5758	1	2		2	4	25	0	{105240,105240,5233,5233}	{105233,5239,5239,5240}
5758	1	3		2	4	25	0	{105239}	{105233}
5758	1	4		2	4	11	0	{105239,105239}	{105233,5240}
5772	1	1		0	2	53	0	{5314,5314,5314}	{105317,5282,5315}
5772	1	2		0	2	37	0	{5317,5317}	{5282,5315}
5772	1	3		0	2	34	0	{105282,105282,5317}	{105317,5315,5282}
10777	1	1		1	3	74	0	{14986,14986,114987,114987}	{14987,114984,114986,114984}
10777	1	2		1	3	38	0	{4608,4608,4608}	{114986,14987,114984}
13111	1	1		2	4	35	0	{118383,118383,18382,18382}	{118382,18381,18383,18381}
13111	1	2		4	0	0	0	{}	{}
13111	1	3		2	4	29	0	{104883,104883,104883}	{118382,18383,18381}
12669	1	1		2	4	29	0	{17615,17615}	{17616,18436}
12669	1	2		2	4	39	0	{18379,18379}	{17616,18436}
10488	1	1		1	3	29	0	{14517,14517}	{14511,18432}
10488	1	2		1	3	53	0	{5172,5172}	{14511,18432}
11381	1	1		2	4	40	0	{18184,18184,18184}	{105140,15885,18186}
11381	1	2		0	4	9	0	{115885,115885,5140}	{105140,18186,15885}
11381	1	3		2	4	25	0	{115885,5140,5140}	{105140,15885,18186}
10491	1	1		2	4	40	0	{5173,114516}	{14516,105173}
10491	1	2		0	0	11	0	{5173,5173,114516,114516}	{14516,14517,105173,14517}
10491	1	3		2	4	27	0	{14518,14518,14518}	{105173,14516,14517}
5743	1	1		1	3	36	0	{5170,5170}	{5178,118373}
5743	1	2		0	3	5	0	{105178,105178}	{105170,118373}
5743	1	3		1	3	28	0	{105178}	{105170}
10460	1	1		0	3	32	0	{5197,5197}	{14459,14460}
10460	1	2		0	3	5	0	{114459,114459}	{105197,14460}
10460	1	3		1	3	33	0	{114459}	{105197}
5685	1	1		0	4	5	0	{105084,105084,105084,18375,18375,18375}	{5177,105178,118375,5084,5177,105178}
5685	1	2		2	4	24	0	{105084,18375}	{118375,5084}
