id	coordinates
5217	(-97.7424,30.2731),(-97.7429,30.2732)
105217	(-97.7429,30.2732),(-97.7424,30.2731)
5218	(-97.7435,30.2734),(-97.7446,30.2737)
105218	(-97.7446,30.2737),(-97.7435,30.2734)
5219	(-97.7446,30.2737),(-97.7447,30.2733)
105220	(-97.7431,30.2712),(-97.7418,30.2709)
105223	(-97.7441,30.2715),(-97.7431,30.2712)
5229	(-97.7433,30.2769),(-97.7437,30.2759)
5233	(-97.7397,30.2724),(-97.7411,30.2727)
105233	(-97.7411,30.2727),(-97.7397,30.2724)
105235	(-97.7418,30.2709),(-97.7404,30.2705)
5236	(-97.7414,30.2718),(-97.7416,30.2713)
105236	(-97.7416,30.2713),(-97.7414,30.2718)
5239	(-97.7411,30.2727),(-97.7414,30.2718)
105239	(-97.7414,30.2718),(-97.7411,30.2727)
5240	(-97.7411,30.2727),(-97.7424,30.2731)
105240	(-97.7424,30.2731),(-97.7411,30.2727)
5241	(-97.739,30.2711),(-97.7393,30.2702)
105242	(-97.7404,30.2705),(-97.7393,30.2702)
5244	(-97.7395,30.2769),(-97.7408,30.2773)
105244	(-97.7408,30.2773),(-97.7395,30.2769)
5246	(-97.7408,30.2773),(-97.7414,30.2774)
105246	(-97.7414,30.2774),(-97.7408,30.2773)
5250	(-97.7375,30.2655),(-97.7378,30.2646)
105250	(-97.7378,30.2646),(-97.7375,30.2655)
5266	(-97.7362,30.2693),(-97.7365,30.2683)
105266	(-97.7365,30.2683),(-97.7362,30.2693)
5267	(-97.7368,30.2674),(-97.7372,30.2665)
105267	(-97.7372,30.2665),(-97.7368,30.2674)
5272	(-97.7372,30.2665),(-97.7373,30.2663)
105272	(-97.7373,30.2663),(-97.7372,30.2665)
5274	(-97.7373,30.2663),(-97.7375,30.2655)
105274	(-97.7375,30.2655),(-97.7373,30.2663)
105275	(-97.7375,30.2676),(-97.7368,30.2674)
5290	(-97.7375,30.2753),(-97.7382,30.2732)
5298	(-97.735,30.2723),(-97.7354,30.2712)
105298	(-97.7354,30.2712),(-97.735,30.2723)
5299	(-97.7365,30.2715),(-97.7376,30.2718)
105299	(-97.7376,30.2718),(-97.7365,30.2715)
5301	(-97.7382,30.2732),(-97.7387,30.2721)
5303	(-97.7376,30.2718),(-97.7387,30.2721)
105303	(-97.7387,30.2721),(-97.7376,30.2718)
5305	(-97.7354,30.2712),(-97.7365,30.2715)
105305	(-97.7365,30.2715),(-97.7354,30.2712)
5307	(-97.7354,30.2712),(-97.7358,30.2702)
105307	(-97.7358,30.2702),(-97.7354,30.2712)
5310	(-97.7371,30.2762),(-97.7375,30.2753)
5311	(-97.736,30.2759),(-97.7371,30.2762)
105311	(-97.7371,30.2762),(-97.736,30.2759)
5312	(-97.7349,30.2756),(-97.736,30.2759)
105312	(-97.736,30.2759),(-97.7349,30.2756)
5884	(-97.7447,30.2879),(-97.7478,30.2882)
105884	(-97.7478,30.2882),(-97.7447,30.2879)
5900	(-97.7452,30.2966),(-97.7463,30.2971)
105900	(-97.7463,30.2971),(-97.7452,30.2966)
5902	(-97.7462,30.3002),(-97.7467,30.2994)
105902	(-97.7467,30.2994),(-97.7462,30.3002)
5908	(-97.7449,30.2853),(-97.7467,30.2854)
105908	(-97.7467,30.2854),(-97.7449,30.2853)
5914	(-97.7444,30.2907),(-97.7464,30.2908)
105914	(-97.7464,30.2908),(-97.7444,30.2907)
5924	(-97.7462,30.2788),(-97.7467,30.279)
105924	(-97.7467,30.279),(-97.7462,30.2788)
5990	(-97.7478,30.2882),(-97.7479,30.2871)
105990	(-97.7479,30.2871),(-97.7478,30.2882)
6008	(-97.7521,30.2836),(-97.7513,30.2828)
