    id coordinates
    94 (-104.2256, 55.4029), (-104.2264, 55.4045)
    95 (-104.2293, 55.3962), (-104.2250, 55.3958)
    96 (-104.2211, 55.3957), (-104.2250, 55.3958)
    97 (-104.2211, 55.3957), (-104.2172, 55.3952)
    98 (-104.2151, 55.3867), (-104.2156, 55.3878)
    99 (-104.2129, 55.3922), (-104.2165, 55.3919)
   100 (-104.2129, 55.3922), (-104.2124, 55.3905)
   101 (-104.2010, 55.3899), (-104.2006, 55.3883)
   102 (-104.2006, 55.3933), (-104.2021, 55.3930)
   103 (-104.2006, 55.3933), (-104.1989, 55.3934)
   104 (-104.1968, 55.3936), (-104.1989, 55.3934)
   105 (-104.1976, 55.3851), (-104.1989, 55.3835)
   106 (-104.1976, 55.3851), (-104.1941, 55.3851)
   107 (-104.1973, 55.3813), (-104.1989, 55.3835)
   108 (-104.1973, 55.3813), (-104.1945, 55.3817)
   109 (-104.1973, 55.3813), (-104.1931, 55.3801)
   110 (-104.1938, 55.3820), (-104.1945, 55.3817)
   111 (-104.1938, 55.3820), (-104.1925, 55.3818)
   112 (-104.1899, 55.3853), (-104.1908, 55.3845)
   113 (-104.1899, 55.3853), (-104.1882, 55.3853)
   114 (-104.1896, 55.3820), (-104.1903, 55.3819)
   115 (-104.1896, 55.3820), (-104.1877, 55.3821)
   116 (-104.1857, 55.3820), (-104.1877, 55.3821)
   117 (-104.1857, 55.3820), (-104.1857, 55.3811)
   118 (-104.1851, 55.3791), (-104.1872, 55.3791)
   119 (-104.1851, 55.3791), (-104.1850, 55.3776)
   120 (-104.1851, 55.3791), (-104.1857, 55.3811)
   121 (-104.1851, 55.3791), (-104.1812, 55.3781)
   122 (-104.1895, 55.3786), (-104.1901, 55.3809)
   123 (-104.1895, 55.3786), (-104.1872, 55.3791)
   124 (-104.1826, 55.3759), (-104.1810, 55.3767)
   125 (-104.1767, 55.3773), (-104.1812, 55.3781)
   126 (-104.1767, 55.3773), (-104.1773, 55.3759)
   127 (-104.1767, 55.3773), (-104.1746, 55.3787)
   128 (-104.1767, 55.3773), (-104.1713, 55.3755)
   129 (-104.1779, 55.3826), (-104.1801, 55.3823)
   130 (-104.1779, 55.3826), (-104.1759, 55.3817)
   131 (-104.1735, 55.3795), (-104.1764, 55.3805)
   132 (-104.1735, 55.3795), (-104.1746, 55.3787)
   133 (-104.1735, 55.3795), (-104.1719, 55.3789)
   134 (-104.1644, 55.3807), (-104.1661, 55.3824)
   135 (-104.1644, 55.3807), (-104.1616, 55.3805)
   136 (-104.1695, 55.3784), (-104.1719, 55.3789)
   137 (-104.1695, 55.3784), (-104.1682, 55.3779)
   138 (-104.1677, 55.3756), (-104.1713, 55.3755)
   139 (-104.1677, 55.3756), (-104.1682, 55.3779)
   140 (-104.1677, 55.3756), (-104.1668, 55.3729)
   141 (-104.1677, 55.3756), (-104.1635, 55.3749)
   142 (-104.1700, 55.3716), (-104.1714, 55.3742)
   143 (-104.1700, 55.3716), (-104.1668, 55.3729)
   144 (-104.1700, 55.3716), (-104.1642, 55.3700)
   145 (-104.1582, 55.3735), (-104.1635, 55.3749)
   146 (-104.1582, 55.3735), (-104.1609, 55.3709)
   147 (-104.1582, 55.3735), (-104.1562, 55.3718)
   148 (-104.1521, 55.3757), (-104.1529, 55.3780)
   149 (-104.1521, 55.3757), (-104.1498, 55.3734)
   150 (-104.1521, 55.3757), (-104.1482, 55.3750)
   151 (-104.1459, 55.3734), (-104.1480, 55.3735)
   152 (-104.1459, 55.3734), (-104.1466, 55.3762)
   153 (-104.1459, 55.3734), (-104.1450, 55.3706)
   154 (-104.1459, 55.3734), (-104.1440, 55.3730)
   155 (-104.1510, 55.3701), (-104.1535, 55.3727)
   156 (-104.1510, 55.3701), (-104.1502, 55.3681)
   157 (-104.1510, 55.3701), (-104.1468, 55.3694)
   158 (-104.1584, 55.3688), (-104.1642, 55.3700)
   159 (-104.1584, 55.3688), (-104.1609, 55.3709)
   160 (-104.1584, 55.3688), (-104.1583, 55.3701)
   161 (-104.1514, 55.3672), (-104.1504, 55.3668)
   162 (-104.1517, 55.3623), (-104.1497, 55.3638)
   163 (-104.1517, 55.3623), (-104.1491, 55.3616)
   164 (-104.1467, 55.3648), (-104.1459, 55.3664)
   165 (-104.1467, 55.3648), (-104.1447, 55.3619)
   166 (-104.1539, 55.3798), (-104.1616, 55.3805)
   167 (-104.1539, 55.3798), (-104.1529, 55.3780)
   168 (-104.1539, 55.3798), (-104.1533, 55.3831)
   169 (-104.1539, 55.3798), (-104.1456, 55.3810)
   170 (-104.1541, 55.3845), (-104.1533, 55.3831)
   171 (-104.1392, 55.3872), (-104.1385, 55.3842)
   172 (-104.1392, 55.3872), (-104.1351, 55.3874)
   173 (-104.1318, 55.3877), (-104.1351, 55.3874)
   174 (-104.1318, 55.3877), (-104.1296, 55.3879)
   175 (-104.1039, 55.3836), (-104.1073, 55.3821)
   176 (-104.1039, 55.3836), (-104.1044, 55.3863)
   177 (-104.1039, 55.3836), (-104.0998, 55.3822)
   178 (-104.1182, 55.3800), (-104.1218, 55.3795)
   179 (-104.1309, 55.3827), (-104.1341, 55.3823)
   180 (-104.1309, 55.3827), (-104.1267, 55.3831)
   181 (-104.1409, 55.3815), (-104.1456, 55.3810)
   182 (-104.1409, 55.3815), (-104.1418, 55.3796)
   183 (-104.1409, 55.3815), (-104.1385, 55.3842)
   184 (-104.1409, 55.3815), (-104.1341, 55.3823)
   185 (-104.1419, 55.3770), (-104.1448, 55.3771)
   186 (-104.1419, 55.3770), (-104.1418, 55.3796)
   187 (-104.1419, 55.3770), (-104.1405, 55.3753)
   188 (-104.1419, 55.3770), (-104.1332, 55.3780)
   189 (-104.1383, 55.3732), (-104.1440, 55.3730)
   190 (-104.1383, 55.3732), (-104.1405, 55.3753)
   191 (-104.1383, 55.3732), (-104.1376, 55.3701)
   192 (-104.1383, 55.3732), (-104.1324, 55.3737)
   193 (-104.1376, 55.3683), (-104.1376, 55.3701)
   194 (-104.1376, 55.3683), (-104.1315, 55.3683)
   195 (-104.1290, 55.3694), (-104.1318, 55.3704)
   196 (-104.1290, 55.3694), (-104.1241, 55.3652)
   197 (-104.1130, 55.3748), (-104.1207, 55.3723)
   198 (-104.1130, 55.3748), (-104.1062, 55.3760)
   199 (-104.1178, 55.3664), (-104.1196, 55.3663)
   200 (-104.1178, 55.3664), (-104.1185, 55.3692)
   201 (-104.1281, 55.3641), (-104.1275, 55.3631)
   202 (-104.1369, 55.3655), (-104.1427, 55.3659)
   203 (-104.1369, 55.3655), (-104.1355, 55.3647)
   204 (-104.1397, 55.3631), (-104.1421, 55.3634)
   205 (-104.1397, 55.3631), (-104.1391, 55.3636)
   206 (-104.1397, 55.3631), (-104.1379, 55.3618)
   207 (-104.1016, 55.3730), (-104.1016, 55.3735)
   208 (-104.1016, 55.3730), (-104.1008, 55.3716)
   209 (-104.1078, 55.3714), (-104.1078, 55.3699)
   210 (-104.1078, 55.3714), (-104.1053, 55.3715)
   211 (-104.1108, 55.3676), (-104.1093, 55.3670)
   212 (-104.1108, 55.3676), (-104.1078, 55.3699)
   213 (-104.1076, 55.3659), (-104.1093, 55.3670)
   214 (-104.1076, 55.3659), (-104.1075, 55.3644)
   215 (-104.1076, 55.3659), (-104.1044, 55.3674)
   216 (-104.1003, 55.3688), (-104.1044, 55.3674)
   217 (-104.1003, 55.3688), (-104.1008, 55.3716)
   218 (-104.0821, 55.3775), (-104.0801, 55.3728)
   219 (-104.0952, 55.3772), (-104.0986, 55.3763)
   220 (-104.0952, 55.3772), (-104.0919, 55.3764)
   221 (-104.0768, 55.3889), (-104.0838, 55.3914)
   222 (-104.0768, 55.3889), (-104.0821, 55.3879)
   223 (-104.0650, 55.3808), (-104.0646, 55.3793)
   224 (-104.0546, 55.3727), (-104.0578, 55.3728)
   225 (-104.1297, 55.3596), (-104.1305, 55.3594)
   226 (-104.1294, 55.3620), (-104.1296, 55.3630)
   227 (-104.1294, 55.3620), (-104.1283, 55.3612)
   228 (-104.1359, 55.3604), (-104.1379, 55.3618)
   229 (-104.1359, 55.3604), (-104.1359, 55.3597)
   230 (-104.1359, 55.3604), (-104.1346, 55.3604)
   231 (-104.1421, 55.3584), (-104.1409, 55.3567)
   232 (-104.1421, 55.3584), (-104.1400, 55.3587)
   233 (-104.1436, 55.3557), (-104.1425, 55.3558)
   234 (-104.1403, 55.3551), (-104.1409, 55.3567)
   235 (-104.1403, 55.3551), (-104.1392, 55.3551)
   236 (-104.1355, 55.3564), (-104.1354, 55.3553)
   237 (-104.1355, 55.3564), (-104.1357, 55.3575)
   238 (-104.1308, 55.3567), (-104.1300, 55.3568)
   239 (-104.1276, 55.3547), (-104.1295, 55.3545)
   240 (-104.1276, 55.3547), (-104.1279, 55.3558)
   241 (-104.1276, 55.3547), (-104.1273, 55.3537)
   242 (-104.1350, 55.3543), (-104.1354, 55.3553)
   243 (-104.1281, 55.3520), (-104.1289, 55.3520)
   244 (-104.1281, 55.3520), (-104.1279, 55.3515)
   245 (-104.1348, 55.3522), (-104.1346, 55.3511)
   246 (-104.1424, 55.3487), (-104.1414, 55.3488)
   247 (-104.1419, 55.3431), (-104.1432, 55.3434)
   248 (-104.1409, 55.3375), (-104.1398, 55.3377)
   249 (-104.1391, 55.3480), (-104.1390, 55.3464)
   250 (-104.1391, 55.3480), (-104.1399, 55.3507)
   251 (-104.1391, 55.3480), (-104.1377, 55.3487)
   252 (-104.1341, 55.3488), (-104.1377, 55.3487)
   253 (-104.1341, 55.3488), (-104.1352, 55.3467)
   254 (-104.1341, 55.3488), (-104.1346, 55.3511)
   255 (-104.1341, 55.3488), (-104.1334, 55.3490)
   256 (-104.1270, 55.3489), (-104.1280, 55.3482)
   257 (-104.1270, 55.3489), (-104.1283, 55.3494)
   258 (-104.1389, 55.3420), (-104.1380, 55.3422)
   259 (-104.1341, 55.3446), (-104.1347, 55.3446)
   260 (-104.1341, 55.3446), (-104.1310, 55.3448)
   261 (-104.1268, 55.3441), (-104.1309, 55.3448)
   262 (-104.1268, 55.3441), (-104.1270, 55.3451)
   263 (-104.1268, 55.3441), (-104.1265, 55.3428)
