    id   type Longitude Latitude Elevation
   168   1000 -104.0491 55.2249      0
   169   1000 -104.0555 55.2364      0
   170   1000 -104.0672 55.2207      0
   171   1000 -104.0767 55.2230      0
   172   1000 -104.0854 55.2317      0
   173   1000 -104.0853 55.2388      0
   174   1000 -104.0936 55.2406      0
   175   1000 -104.1011 55.2386      0
   176   1000 -104.0996 55.2291      0
   177   1000 -104.1022 55.2216      0
   178   1000 -104.0979 55.2194      0
   179   1000 -104.1142 55.2192      0
   180   1000 -104.1275 55.2215      0
   181   1000 -104.1158 55.2268      0
   182   1000 -104.1155 55.2331      0
   183   1000 -104.1264 55.2345      0
   184   1000 -104.1245 55.2396      0
   185   1000 -104.1170 55.2381      0
   186   1000 -104.1168 55.2437      0
   187   1000 -104.1243 55.2429      0
   188   1000 -104.1350 55.2448      0
   189   1000 -104.1343 55.2477      0
   190   1000 -104.1374 55.2528      0
   191   1000 -104.1299 55.2522      0
   192   1000 -104.1272 55.2502      0
   193   1000 -104.1278 55.2480      0
   194   1000 -104.1255 55.2460      0
   195   1000 -104.1172 55.2469      0
   196   1000 -104.1170 55.2499      0
   197   1000 -104.1207 55.2507      0
   198   1000 -104.1230 55.2501      0
   199   1000 -104.1255 55.2550      0
   200   1000 -104.1176 55.2560      0
   201   1000 -104.1095 55.2609      0
   202   1000 -104.1207 55.2600      0
   203   1000 -104.1304 55.2566      0
   204   1000 -104.1392 55.2568      0
   205   1000 -104.1327 55.2594      0
   206   1000 -104.1247 55.2618      0
   207   1000 -104.1187 55.2623      0
   208   1000 -104.1088 55.2654      0
   209   1000 -104.1141 55.2664      0
   210   1000 -104.0877 55.2453      0
   211   1000 -104.0823 55.2505      0
   212   1000 -104.0977 55.2493      0
   213   1000 -104.1044 55.2445      0
   214   1000 -104.1038 55.2489      0
   215   1000 -104.1043 55.2526      0
   216   1000 -104.1047 55.2562      0
   217   1000 -104.0993 55.2578      0
   218   1000 -104.0938 55.2577      0
   219   1000 -104.0932 55.2547      0
   220   1000 -104.0854 55.2565      0
   221   1000 -104.0711 55.2468      0
   222   1000 -104.0701 55.2504      0
   223   1000 -104.0605 55.2548      0
   224   1000 -104.0472 55.2504      0
   225   1000 -104.0365 55.2607      0
   226   1000 -104.0288 55.2596      0
   227   1000 -104.0243 55.2510      0
   228   1000 -103.9905 55.2601      0
   229   1000 -103.9960 55.2527      0
   230   1000 -103.9704 55.2552      0
   231   1000 -103.9694 55.2590      0
   232   1000 -103.9613 55.2595      0
   233   1000 -103.9590 55.2550      0
   234   1000 -104.1055 55.2669      0
   235   1000 -104.1009 55.2632      0
   236   1000 -104.0930 55.2639      0
   237   1000 -104.0738 55.2687      0
   238   1000 -104.0741 55.2735      0
   239   1000 -104.0823 55.2726      0
   240   1000 -104.0882 55.2711      0
   241   1000 -104.0901 55.2671      0
   242   1000 -104.1005 55.2668      0
   243   1000 -104.1005 55.2716      0
   244   1000 -104.1017 55.2752      0
   245   1000 -104.0910 55.2755      0
   246   1000 -104.0826 55.2769      0
   247   1000 -104.0717 55.2773      0
   248   1000 -104.0657 55.2792      0
   249   1000 -104.0679 55.2835      0
   250   1000 -104.0751 55.2816      0
   251   1000 -104.0820 55.2816      0
   252   1000 -104.0854 55.2815      0
   253   1000 -104.0903 55.2802      0
   254   1000 -104.0965 55.2796      0
   255   1000 -104.0906 55.2845      0
   256   1000 -104.0839 55.2856      0
   257   1000 -104.0777 55.2849      0
   258   1000 -104.0778 55.2870      0
   259   1000 -104.0710 55.2870      0
   260   1000 -104.0619 55.2918      0
   261   1000 -104.0565 55.2948      0
   262   1000 -104.0467 55.2951      0
   263   1000 -104.0481 55.2920      0
   264   1000 -104.0525 55.2924      0
   265   1000 -104.0610 55.2871      0
   266   1000 -104.0552 55.2893      0
   267   1000 -104.0450 55.2883      0
   268   1000 -104.0413 55.2877      0
   269   1000 -104.0355 55.2884      0
   270   1000 -104.0323 55.2863      0
   271   1000 -104.0319 55.2774      0
   272   1000 -104.0373 55.2846      0
   273   1000 -104.0437 55.2836      0
   274   1000 -104.0364 55.2796      0
   275   1000 -104.0434 55.2806      0
   276   1000 -104.0531 55.2830      0
   277   1000 -104.0596 55.2828      0
   278   1000 -104.0611 55.2782      0
   279   1000 -104.0508 55.2764      0
   280   1000 -104.0571 55.2693      0
   281   1000 -104.0413 55.2706      0
   282   1000 -104.0328 55.2657      0
   283   1000 -104.0410 55.2930      0
   284   1000 -104.0367 55.2940      0
   285   1000 -104.0377 55.2983      0
   286   1000 -104.0421 55.2962      0
   287   1000 -104.0454 55.2969      0
   288   1000 -104.0461 55.3000      0
   289   1000 -104.0488 55.3047      0
   290   1000 -104.0508 55.3032      0
   291   1000 -104.0569 55.3054      0
   292   1000 -104.0579 55.3023      0
   293   1000 -104.0566 55.2975      0
   294   1000 -104.0628 55.2968      0
   295   1000 -104.0639 55.3015      0
   296   1000 -104.0645 55.3049      0
   297   1000 -104.0840 55.2954      0
   298   1000 -104.0767 55.3028      0
   299   1000 -104.0707 55.2961      0
   300   1000 -104.0752 55.2959      0
   301   1000 -104.0710 55.2912      0
   302   1000 -104.0785 55.2908      0
   303   1000 -104.0834 55.2911      0
   304   1000 -104.0877 55.2887      0
   305   1000 -104.0936 55.2884      0
   306   1000 -104.0735 55.3012      0
   307   1000 -104.1011 55.2947      0
   308   1000 -104.1064 55.2922      0
   309   1000 -104.1116 55.2883      0
   310   1000 -104.1171 55.2884      0
   311   1000 -104.1009 55.2973      0
   312   1000 -104.1050 55.2977      0
   313   1000 -104.1125 55.2948      0
   314   1000 -104.1093 55.2992      0
   315   1000 -104.1137 55.2989      0
   316   1000 -104.1173 55.2977      0
   317   1000 -104.1254 55.2952      0
   318   1000 -104.1255 55.2981      0
   319   1000 -104.1248 55.3005      0
   320   1000 -104.1284 55.3002      0
   321   1000 -104.1341 55.2995      0
   322   1000 -104.1386 55.2993      0
   323   1000 -104.1333 55.2959      0
   324   1000 -104.1334 55.2934      0
   325   1000 -104.1391 55.2945      0
   326   1000 -104.1451 55.2939      0
   327   1000 -104.1493 55.2964      0
   328   1000 -104.1498 55.2994      0
   329   1000 -104.1448 55.2972      0
   330   1000 -104.1448 55.2994      0
   331   1000 -104.1491 55.3031      0
   332   1000 -104.1524 55.3077      0
   333   1000 -104.1435 55.3077      0
   334   1000 -104.1402 55.3078      0
   335   1000 -104.1402 55.3039      0
   336   1000 -104.1352 55.3047      0
   337   1000 -104.1362 55.3080      0
   338   1000 -104.1311 55.3087      0
   339   1000 -104.1313 55.3062      0
   340   1000 -104.1350 55.3021      0
   341   1000 -104.1301 55.3023      0
   342   1000 -104.1252 55.3026      0
   343   1000 -104.1258 55.3052      0
   344   1000 -104.1267 55.3087      0
   345   1000 -104.1209 55.3091      0
   346   1000 -104.1203 55.3072      0
   347   1000 -104.1197 55.3051      0
   348   1000 -104.1142 55.3033      0
   349   1000 -104.1156 55.3056      0
   350   1000 -104.1093 55.3038      0
   351   1000 -104.1114 55.3059      0
   352   1000 -104.1091 55.3094      0
   353   1000 -104.1142 55.3091      0
   354   1000 -104.1139 55.3127      0
   355   1000 -104.1121 55.3150      0
   356   1000 -104.1122 55.3167      0
   357   1000 -104.1135 55.3189      0
   358   1000 -104.1186 55.3199      0
   359   1000 -104.1207 55.3189      0
   360   1000 -104.1188 55.3178      0
   361   1000 -104.1242 55.3179      0
   362   1000 -104.1221 55.3166      0
   363   1000 -104.1228 55.3158      0
   364   1000 -104.1181 55.3130      0
   365   1000 -104.1229 55.3137      0
   366   1000 -104.1260 55.3164      0
   367   1000 -104.1279 55.3134      0
   368   1000 -104.1230 55.3111      0
   369   1000 -104.1275 55.3111      0
   370   1000 -104.1312 55.3133      0
   371   1000 -104.1346 55.3131      0
   372   1000 -104.1309 55.3112      0
   373   1000 -104.1370 55.3104      0
   374   1000 -104.1378 55.3126      0
   375   1000 -104.1409 55.3106      0
   376   1000 -104.1431 55.3126      0
   377   1000 -104.1472 55.3119      0
   378   1000 -104.1523 55.3102      0
   379   1000 -104.1495 55.3170      0
   380   1000 -104.1450 55.3176      0
   381   1000 -104.1410 55.3162      0
   382   1000 -104.1441 55.3193      0
   383   1000 -104.1443 55.3209      0
   384   1000 -104.1507 55.3213      0
   385   1000 -104.1515 55.3251      0
   386   1000 -104.1470 55.3231      0
   387   1000 -104.1422 55.3234      0
   388   1000 -104.1389 55.3206      0
   389   1000 -104.1377 55.3211      0
   390   1000 -104.1367 55.3219      0
   391   1000 -104.1341 55.3207      0
   392   1000 -104.1324 55.3200      0
   393   1000 -104.1354 55.3194      0
   394   1000 -104.1394 55.3195      0
   395   1000 -104.1392 55.3178      0
   396   1000 -104.1389 55.3171      0
   397   1000 -104.1374 55.3166      0
   398   1000 -104.1381 55.3149      0
   399   1000 -104.1354 55.3157      0
   400   1000 -104.1364 55.3175      0
   401   1000 -104.1368 55.3181      0
   402   1000 -104.1345 55.3176      0
   403   1000 -104.1335 55.3159      0
   404   1000 -104.1318 55.3155      0
   405   1000 -104.1320 55.3169      0
   406   1000 -104.1312 55.3179      0
   407   1000 -104.1340 55.3183      0
   408   1000 -104.1331 55.3192      0
   409   1000 -104.1306 55.3186      0
   410   1000 -104.1296 55.3166      0
   411   1000 -104.1289 55.3176      0
   412   1000 -104.1285 55.3193      0
   413   1000 -104.1272 55.3205      0
   414   1000 -104.1255 55.3221      0
   415   1000 -104.1219 55.3211      0
   416   1000 -104.1144 55.3207      0
   417   1000 -104.1122 55.3237      0
   418   1000 -104.1176 55.3233      0
   419   1000 -104.1181 55.3222      0
   420   1000 -104.1154 55.3250      0
   421   1000 -104.1158 55.3266      0
   422   1000 -104.1210 55.3255      0
   423   1000 -104.1250 55.3241      0
   424   1000 -104.1292 55.3238      0
   425   1000 -104.1320 55.3217      0
   426   1000 -104.1311 55.3228      0
   427   1000 -104.1351 55.3241      0
   428   1000 -104.1383 55.3236      0
   429   1000 -104.1513 55.3271      0
   430   1000 -104.1527 55.3301      0
   431   1000 -104.1488 55.3324      0
   432   1000 -104.1483 55.3300      0
   433   1000 -104.1474 55.3264      0
   434   1000 -104.1429 55.3265      0
   435   1000 -104.1438 55.3302      0
   436   1000 -104.1446 55.3330      0
   437   1000 -104.1376 55.3325      0
   438   1000 -104.1361 55.3346      0
   439   1000 -104.1387 55.3270      0
   440   1000 -104.1348 55.3270      0
   441   1000 -104.1300 55.3273      0
   442   1000 -104.1309 55.3305      0
   443   1000 -104.1249 55.3335      0
   444   1000 -104.1225 55.3284      0
   445   1000 -104.1191 55.3310      0
   446   1000 -104.1196 55.3351      0
   447   1000 -104.1160 55.3342      0
   448   1000 -104.1150 55.3316      0
   449   1000 -104.1186 55.3271      0
   450   1000 -104.1525 55.3379      0
   451   1000 -104.1512 55.3351      0
   452   1000 -104.1461 55.3379      0
   453   1000 -104.1222 55.2921      0
   454   1000 -104.1236 55.2891      0
   455   1000 -104.1234 55.2862      0
   456   1000 -104.1279 55.2856      0
   457   1000 -104.1286 55.2888      0
   458   1000 -104.1292 55.2917      0
   459   1000 -104.1329 55.2913      0
   460   1000 -104.1324 55.2887      0
   461   1000 -104.1318 55.2852      0
   462   1000 -104.1356 55.2853      0
   463   1000 -104.1355 55.2905      0
   464   1000 -104.1399 55.2908      0
   465   1000 -104.1395 55.2878      0
   466   1000 -104.1391 55.2841      0
   467   1000 -104.1433 55.2858      0
   468   1000 -104.1439 55.2885      0
   469   1000 -104.1442 55.2908      0
   470   1000 -104.1420 55.2837      0
   471   1000 -104.1091 55.2827      0
   472   1000 -104.1117 55.2839      0
   473   1000 -104.1162 55.2831      0
   474   1000 -104.1198 55.2833      0
   475   1000 -104.1186 55.2786      0
   476   1000 -104.1170 55.2748      0
   477   1000 -104.1283 55.2713      0
   478   1000 -104.1225 55.2774      0
   479   1000 -104.1260 55.2759      0
   480   1000 -104.1267 55.2790      0
   481   1000 -104.1234 55.2825      0
   482   1000 -104.1276 55.2831      0
   483   1000 -104.1312 55.2831      0
   484   1000 -104.1348 55.2828      0
   485   1000 -104.1339 55.2785      0
   486   1000 -104.1307 55.2808      0
   487   1000 -104.1298 55.2756      0
   488   1000 -104.1320 55.2744      0
   489   1000 -104.1340 55.2708      0
   490   1000 -104.1368 55.2665      0
   491   1000 -104.1484 55.2643      0
   492   1000 -104.1499 55.2702      0
   493   1000 -104.1420 55.2705      0
   494   1000 -104.1495 55.2733      0
   495   1000 -104.1406 55.2748      0
   496   1000 -104.1355 55.2740      0
   497   1000 -104.1369 55.2759      0
   498   1000 -104.1376 55.2790      0
   499   1000 -104.1384 55.2824      0
   500   1000 -104.1452 55.2822      0
   501   1000 -104.1438 55.2793      0
   502   1000 -104.1520 55.2805      0
   503   1000 -104.1508 55.2782      0
   504   1000 -104.1574 55.2805      0
   505   1000 -104.1682 55.2787      0
   506   1000 -104.1567 55.2737      0
   507   1000 -104.1665 55.2701      0
   508   1000 -104.1608 55.2668      0
   509   1000 -104.1692 55.2677      0
   510   1000 -104.1608 55.2643      0
   511   1000 -104.1557 55.2690      0
   512   1000 -104.1461 55.2832      0
   513   1000 -104.1469 55.2860      0
   514   1000 -104.1473 55.2882      0
   515   1000 -104.1477 55.2902      0
   516   1000 -104.1485 55.2929      0
   517   1000 -104.1509 55.2823      0
   518   1000 -104.1530 55.2853      0
   519   1000 -104.1519 55.2885      0
   520   1000 -104.1550 55.2918      0
   521   1000 -104.1543 55.2954      0
   522   1000 -104.1557 55.2986      0
   523   1000 -104.1565 55.3015      0
   524   1000 -104.1662 55.2965      0
   525   1000 -104.1607 55.2948      0
   526   1000 -104.1678 55.2911      0
   527   1000 -104.1757 55.2974      0
   528   1000 -104.1746 55.2912      0
   529   1000 -104.1723 55.2870      0
   530   1000 -104.1673 55.2877      0
   531   1000 -104.1612 55.2911      0
   532   1000 -104.1615 55.2881      0
   533   1000 -104.1589 55.2844      0
   534   1000 -104.1577 55.2819      0
   535   1000 -104.1621 55.2816      0
   536   1000 -104.1636 55.2837      0
   537   1000 -104.1687 55.2819      0
   538   1000 -104.1825 55.2682      0
   539   1000 -104.1787 55.2721      0
   540   1000 -104.1812 55.2762      0
   541   1000 -104.1764 55.2791      0
   542   1000 -104.1753 55.2821      0
   543   1000 -104.1789 55.2847      0
   544   1000 -104.1771 55.2874      0
   545   1000 -104.1813 55.2879      0
   546   1000 -104.1853 55.2852      0
   547   1000 -104.1912 55.2843      0
   548   1000 -104.2014 55.2780      0
   549   1000 -104.1956 55.2877      0
   550   1000 -104.1917 55.2805      0
   551   1000 -104.1914 55.2779      0
   552   1000 -104.1862 55.2796      0
   553   1000 -104.1829 55.2781      0
   554   1000 -104.1888 55.2725      0
   555   1000 -104.1980 55.2690      0
   556   1000 -104.2052 55.2652      0
   557   1000 -104.2072 55.2729      0
   558   1000 -104.2100 55.2772      0
   559   1000 -104.1986 55.2761      0
   560   1000 -104.1985 55.2799      0
   561   1000 -104.2085 55.2801      0
