Link	Type	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	Avg
79	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Centroid	4.0	16.0	28.0	28.0	36.0	16.0	24.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0
81	Centroid	12.0	16.0	12.0	0.0	4.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0
82	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	Centroid	20.0	4.0	4.0	8.0	8.0	16.0	16.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0
84	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	Centroid	0.0	0.0	0.0	4.0	12.0	8.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0
86	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	Centroid	20.0	24.0	16.0	20.0	24.0	12.0	8.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0
88	Centroid	0.0	4.0	16.0	4.0	8.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0
89	Centroid	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
90	Centroid	20.0	40.0	40.0	36.0	40.0	20.0	20.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0
91	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	Centroid	64.0	72.0	72.0	60.0	100.0	64.0	84.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	568.0
93	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	Centroid	52.0	32.0	52.0	28.0	28.0	32.0	32.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292.0
95	Centroid	28.0	12.0	32.0	36.0	32.0	32.0	32.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0
96	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	Centroid	48.0	60.0	52.0	40.0	36.0	48.0	32.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	360.0
98	Centroid	24.0	28.0	84.0	32.0	60.0	44.0	40.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.0
99	Centroid	68.0	80.0	88.0	60.0	52.0	64.0	80.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	580.0
100	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	Centroid	20.0	32.0	24.0	32.0	40.0	64.0	36.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.0
102	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	Centroid	12.0	12.0	0.0	12.0	12.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0
104	Centroid	20.0	8.0	16.0	28.0	12.0	20.0	20.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0
105	Centroid	0.0	0.0	0.0	16.0	8.0	32.0	24.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0
106	Centroid	56.0	60.0	68.0	52.0	20.0	32.0	64.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.0
107	Centroid	28.0	24.0	36.0	12.0	32.0	20.0	24.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0
108	Centroid	0.0	8.0	0.0	8.0	12.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0
109	Centroid	8.0	8.0	12.0	4.0	4.0	12.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0
110	Centroid	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
111	Centroid	4.0	4.0	8.0	12.0	8.0	16.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0
112	Centroid	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
113	Centroid	12.0	4.0	8.0	4.0	4.0	12.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0
114	Centroid	4.0	20.0	0.0	0.0	16.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0
115	Centroid	28.0	12.0	16.0	8.0	12.0	36.0	12.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0
116	Centroid	0.0	8.0	4.0	0.0	4.0	16.0	12.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0
117	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
118	Centroid	0.0	0.0	4.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
