id	type	origin	destination	ast	demand
1	111	100379	225469	6	12.9323
1	111	100379	225469	7	6.46616
1	111	100379	225469	4	6.46616
1	111	100379	225469	5	6.46616
1	111	100379	225469	2	12.9323
1	111	100379	225469	3	12.9323
1	111	100379	225469	1	12.9323
1	111	100360	225469	4	17.7819
1	111	100375	225469	4	17.7819
1	111	100378	225469	2	2.74812
1	111	100378	225469	3	2.74812
1	111	100378	225469	0	2.74812
1	111	100378	225469	1	2.74812
1	111	100378	225469	6	2.74812
1	111	100378	225469	7	2.74812
1	111	100378	225469	4	2.74812
1	111	100378	225469	5	2.74812
1	111	100378	225469	8	2.74812
1	111	129912	225545	6	3.51847
1	111	129912	225545	7	5.27771
1	111	129912	225545	4	8.79616
1	111	129912	225545	5	3.51847
1	111	130479	225545	6	21.7039
1	111	130479	225545	7	15.5027
1	111	130479	225545	4	9.30167
1	111	130479	225545	5	9.30167
1	111	130479	225545	2	3.10056
1	111	130479	225545	3	6.20111
1	111	130479	225545	1	6.20111
1	111	130479	200404	5	2.85463
1	111	130479	200404	6	2.85463
1	111	130479	200404	1	2.85463
1	111	130479	200404	3	8.56386
1	111	129912	200404	1	5.3996
1	111	129912	200404	2	16.1988
1	111	129912	200404	3	5.3996
1	111	129912	200404	4	5.3996
1	111	129912	200404	5	10.7992
1	111	129912	200404	6	16.1988
1	111	129912	200404	7	5.3996
1	111	129912	231786	4	7.05834
1	111	129912	231786	5	5.64667
1	111	129912	231786	6	11.2934
1	111	129912	231786	7	14.1167
1	111	129912	231786	1	7.05834
1	111	129912	231786	2	8.47002
1	111	129912	231786	3	9.88169
1	111	130479	231786	0	36.6051
1	111	130479	231786	1	10.9815
1	111	130479	231786	2	25.6236
1	111	130479	231786	3	51.247
1	111	130479	231786	4	40.2655
1	111	130479	231786	5	10.9815
1	111	130479	231786	6	3.66051
1	111	130479	231786	7	7.321
1	111	100405	230631	4	1.188
1	111	101413	231551	7	0.933691
1	111	101410	231551	2	0.933691
1	111	101408	231551	2	0.933691
1	111	101409	231551	6	0.933691
1	111	101413	231791	6	17.8149
1	111	101413	231791	4	17.8149
1	111	100376	225698	4	1.02737
1	111	100377	225698	2	1.02737
1	111	100376	225698	7	1.02737
1	111	100377	225698	6	1.02737
1	111	100378	225698	5	1.02737
1	111	100379	225698	3	1.02737
1	111	100379	225698	7	1.02737
1	111	100380	225698	4	1.02737
1	111	100381	225698	1	1.02737
1	111	100381	225698	3	1.02737
1	111	100381	225698	4	1.02737
1	111	100381	225698	6	1.02737
1	111	100381	225698	8	1.02737
1	111	100382	225698	5	1.02737
1	111	100383	225698	2	1.02737
1	111	100383	225698	3	1.02737
1	111	100382	225698	1	1.02737
1	111	100382	225698	2	1.02737
1	111	100383	225698	6	1.02737
1	111	100382	225698	3	1.02737
1	111	100359	225698	8	1.02737
1	111	100356	225698	7	1.02737
1	111	100356	225698	3	1.02737
1	111	100358	225698	6	1.02737
1	111	100373	225669	4	1.87667
1	111	100358	225698	1	1.02737
1	111	100372	225669	5	1.87667
1	111	100379	225669	6	1.87667
1	111	100361	225698	1	1.02737
1	111	100378	225669	7	1.87667
1	111	100360	225698	2	1.02737
1	111	100361	225698	8	1.02737
1	111	100362	225698	5	1.02737
1	111	100362	225698	2	1.02737
1	111	100382	225669	2	1.87667
1	111	100382	225669	6	1.87667
1	111	100382	225669	7	1.87667
1	111	100382	225669	4	1.87667
1	111	100381	225669	6	1.87667
1	111	100381	225669	7	1.87667
1	111	100381	225669	4	1.87667
1	111	100380	225669	1	1.87667
1	111	100381	225669	5	1.87667
1	111	100381	225669	2	1.87667
1	111	100380	225669	7	1.87667
1	111	100381	225669	3	1.87667
1	111	100380	225669	4	1.87667
1	111	100381	225669	1	1.87667
1	111	100403	225698	5	1.02737
1	111	100404	225698	4	1.02737
1	111	100405	225698	0	1.02737
1	111	100405	225698	4	1.02737
1	111	100407	225698	1	2.05473
1	111	100407	225698	3	1.02737
1	111	100407	225698	5	1.02737
1	111	100406	225698	3	1.02737
1	111	100407	225698	7	1.02737
1	111	100403	225669	5	1.87667
1	111	100384	225698	1	1.02737
1	111	100403	225669	1	1.87667
1	111	100386	225698	2	1.02737
1	111	100407	225669	6	1.87667
1	111	100406	225669	3	1.87667
1	111	100406	225669	6	1.87667
1	111	100407	225669	2	1.87667
1	111	100406	225669	5	1.87667
1	111	100404	225669	3	1.87667
1	111	100405	225669	7	1.87667
1	111	100405	225669	4	1.87667
1	111	100405	225669	5	1.87667
1	111	100404	225669	7	1.87667
1	111	100405	225669	1	1.87667
1	111	100849	229913	4	0.217062
1	111	100849	229913	2	0.217062
1	111	100849	229913	8	0.217062
1	111	100360	229913	2	0.217062
1	111	100361	229913	6	0.434125
1	111	100360	229913	3	0.217062
1	111	100361	229913	7	0.651187
1	111	100361	229913	4	0.434125
1	111	100362	229913	8	0.434125
1	111	100360	229913	1	0.434125
1	111	100361	229913	5	0.434125
1	111	100360	229913	6	0.217062
1	111	100361	229913	2	0.217062
1	111	100360	229913	7	0.217062
1	111	100361	229913	3	0.86825
1	111	100360	229913	4	0.434125
1	111	100361	229913	0	0.217062
1	111	100360	229913	5	0.434125
1	111	100361	229913	1	0.434125
1	111	100362	229913	2	0.86825
1	111	100362	229913	3	0.86825
1	111	100360	229913	8	0.217062
1	111	100362	229913	0	0.217062
1	111	100363	229913	4	0.217062
1	111	100362	229913	1	0.651187
1	111	100362	229913	6	1.08531
1	111	100362	229913	7	0.651187
1	111	100361	229913	8	0.434125
1	111	100362	229913	4	1.08531
