Mult	J
0	3.4925131441223103	207
1	3.5002082064151994	214
2	3.507788956275065	229
3	3.5152501246390164	233
4	3.522631373790439	236
5	3.5299547617932894	243
6	3.5372322041743645	248
7	3.544459237457922	247
8	3.551586180108357	243
9	3.5586067031814697	245
10	3.5654427819894354	249
11	3.5722541074010663	242
12	3.5788130788378165	240
13	3.58513801735201	245
14	3.5914284418962823	237
15	3.597591928793883	240
16	3.603360008348593	196
17	3.607558734401244	199
18	3.611467726568845	208
19	3.6151345302711935	209
20	3.618411752355846	205
21	3.6215074764034796	207
22	3.6244150549091874	193
23	3.627220899030078	192
24	3.6297934932424094	190
25	3.6317631496243146	194
26	3.633695165000499	194
27	3.6356107457695694	192
28	3.6375113298472193	190
29	3.6394003703730333	190
30	3.6412894108988523	190
31	3.6431523541027575	180
32	3.6446377354417487	93
33	3.645154956210531	91
34	3.6455463071603122	91
35	3.645936464553196	91
36	3.6463213270329566	91
37	3.646696198223337	78
38	3.647062997215607	76
39	3.6474297962078834	76
40	3.6477965952001554	75
41	3.6481633941924256	75
42	3.6485300770313795	68
43	3.648893040077386	66
44	3.649256003123395	66
45	3.6496189661694003	66
46	3.649981929215408	66
47	3.6503448922614146	66
48	3.6507029575379475	60
49	3.6510578260982065	60
50	3.6514126946584646	60
51	3.6517577939653725	56
52	3.6520998346216436	53
53	3.652433574590168	41
54	3.6527494261362543	41
55	3.653065277682341	41
56	3.653378670404406	41
57	3.6536505488969313	38
58	3.653921251057728	38
59	3.654191953218523	38
60	3.654460699994312	35
61	3.6547252554613787	35
62	3.6549898109284413	35
63	3.6552530291210568	31
64	3.6553634830385007	0
65	3.6553634830385007	0
66	3.6553634830385007	0
67	3.6553634830385007	0
68	3.6553634830385007	0
69	3.6553634830385007	0
70	3.6553634830385007	0
71	3.6553634830385007	0
72	3.6553634830385007	0
73	3.6553634830385007	0
74	3.6553634830385007	0
75	3.6553634830385007	0
76	3.6553634830385007	0
77	3.6553634830385007	0
78	3.6553634830385007	0
79	3.6553634830385007	0
80	3.6553634830385007	0
81	3.6553634830385007	0
82	3.6553634830385007	0
83	3.6553634830385007	0
84	3.6553634830385007	0
85	3.6553634830385007	0
86	3.6553634830385007	0
87	3.6553634830385007	0
88	3.6553634830385007	0
89	3.6553634830385007	0
90	3.6553634830385007	0
91	3.6553634830385007	0
92	3.6553634830385007	0
93	3.6553634830385007	0
94	3.6553634830385007	0
95	3.6553634830385007	0
96	3.6553634830385007	0
97	3.6553634830385007	0
98	3.6553634830385007	0
99	3.6553634830385007	0
100	3.6553634830385007	0
101	3.6553634830385007	0
102	3.6553634830385007	0
103	3.6553634830385007	0
104	3.6553634830385007	0
105	3.6553634830385007	0
106	3.6553634830385007	0
107	3.6553634830385007	0
108	3.6553634830385007	0
109	3.6553634830385007	0
110	3.6553634830385007	0
111	3.6553634830385007	0
112	3.6553634830385007	0
113	3.6553634830385007	0
114	3.6553634830385007	0
115	3.6553634830385007	0
116	3.6553634830385007	0
117	3.6553634830385007	0
118	3.6553634830385007	0
119	3.6553634830385007	0
120	3.6553634830385007	0
