id	type	origin	destination	ast	demand
1	111	100379	125469	6	12.9323
1	111	100379	125469	7	6.46616
1	111	100379	125469	4	6.46616
1	111	100379	125469	5	6.46616
1	111	100379	125469	2	12.9323
1	111	100379	125469	3	12.9323
1	111	100379	125469	1	12.9323
1	111	100360	125469	4	17.7819
1	111	100375	125469	4	17.7819
1	111	100378	125469	2	2.74812
1	111	100378	125469	3	2.74812
1	111	100378	125469	0	2.74812
1	111	100378	125469	1	2.74812
1	111	100378	125469	6	2.74812
1	111	100378	125469	7	2.74812
1	111	100378	125469	4	2.74812
1	111	100378	125469	5	2.74812
1	111	100378	125469	8	2.74812
1	111	129912	125545	6	3.51847
1	111	129912	125545	7	5.27771
1	111	129912	125545	4	8.79616
1	111	129912	125545	5	3.51847
1	111	130479	125545	6	21.7039
1	111	130479	125545	7	15.5027
1	111	130479	125545	4	9.30167
1	111	130479	125545	5	9.30167
1	111	130479	125545	2	3.10056
1	111	130479	125545	3	6.20111
1	111	130479	125545	1	6.20111
1	111	130479	100404	5	2.85463
1	111	130479	100404	6	2.85463
1	111	130479	100404	1	2.85463
1	111	130479	100404	3	8.56386
1	111	129912	100404	1	5.3996
1	111	129912	100404	2	16.1988
1	111	129912	100404	3	5.3996
1	111	129912	100404	4	5.3996
1	111	129912	100404	5	10.7992
1	111	129912	100404	6	16.1988
1	111	129912	100404	7	5.3996
1	111	129912	131786	4	7.05834
1	111	129912	131786	5	5.64667
1	111	129912	131786	6	11.2934
1	111	129912	131786	7	14.1167
1	111	129912	131786	1	7.05834
1	111	129912	131786	2	8.47002
1	111	129912	131786	3	9.88169
1	111	130479	131786	0	36.6051
1	111	130479	131786	1	10.9815
1	111	130479	131786	2	25.6236
1	111	130479	131786	3	51.247
1	111	130479	131786	4	40.2655
1	111	130479	131786	5	10.9815
1	111	130479	131786	6	3.66051
1	111	130479	131786	7	7.321
1	111	100405	130631	4	1.188
1	111	101413	131551	7	0.933691
1	111	101410	131551	2	0.933691
1	111	101408	131551	2	0.933691
1	111	101409	131551	6	0.933691
1	111	101413	131791	6	17.8149
1	111	101413	131791	4	17.8149
1	111	100376	125698	4	1.02737
1	111	100377	125698	2	1.02737
1	111	100376	125698	7	1.02737
1	111	100377	125698	6	1.02737
1	111	100378	125698	5	1.02737
1	111	100379	125698	3	1.02737
1	111	100379	125698	7	1.02737
1	111	100380	125698	4	1.02737
1	111	100381	125698	1	1.02737
1	111	100381	125698	3	1.02737
