ID NS EW
5761 I_35S 7_ST
12672 I_35S 8_ST
5709 I_35S 11_ST
5684 I_35N 12_ST
5143 I_35S MLK_BLVD
6376 I_35S CLYDE_LITTLEFIELD_DR
6387 I_35N CLYDE_LITTLEFIELD_DR
5471 GUADALUPE_ST 7_ST
5544 LAMAR_BLVD 5_ST
5581 WEST_AVE 5_ST
5135 LAMAR_AVE 12_ST
13091 SHOAL_CREEK_BLVD 12_ST
11080 LAVACA_ST 12_ST
5757 GUADALUPE_ST 12_ST
